Rank;Player;Age;Nation;Position;Squad;Competition;Match_played;Minutes_played;Goals_Scored;Assist;Goals_Excluding_Penalties;Red_Cards;Goals_per_90min;Assist_per_90min;Goals&Assist_per_90min;Goals_excluding_penalties_90min
1479;Victor Lindelöf;29;se SWE;DF;Manchester Utd;eng Premier League;19;1328;1;1;1;0;0.07;0.07;0.14;0.07
105;Sofyan Amrabat;26;ma MAR;MF,DF;Manchester Utd;eng Premier League;21;938;0;0;0;0;0.00;0.00;0.00;0.00
823;Christian Eriksen;31;dk DEN;MF;Manchester Utd;eng Premier League;22;1141;1;2;1;0;0.08;0.16;0.24;0.08
1564;Harry Maguire;30;eng ENG;DF;Manchester Utd;eng Premier League;22;1653;2;2;2;0;0.11;0.11;0.22;0.11
2674;Raphaël Varane;30;fr FRA;DF;Manchester Utd;eng Premier League;22;1375;1;0;1;0;0.07;0.00;0.07;0.07
2741;Aaron Wan-Bissaka;25;eng ENG;DF;Manchester Utd;eng Premier League;22;1780;0;2;0;0;0.00;0.10;0.10;0.00
834;Jonny Evans;35;nir NIR;DF;Manchester Utd;eng Premier League;23;1392;0;1;0;0;0.00;0.06;0.06;0.00
1572;Kobbie Mainoo;18;eng ENG;MF;Manchester Utd;eng Premier League;24;1924;3;1;3;0;0.14;0.05;0.19;0.14
480;Casemiro;31;br BRA;MF,DF;Manchester Utd;eng Premier League;25;1982;1;2;1;0;0.05;0.09;0.14;0.05
118;Antony;23;br BRA;FW;Manchester Utd;eng Premier League;29;1324;1;1;1;0;0.07;0.07;0.14;0.07
1173;Rasmus Højlund;20;dk DEN;FW;Manchester Utd;eng Premier League;30;2158;10;2;10;0;0.42;0.08;0.50;0.42
1708;Scott McTominay;26;sct SCO;MF,FW;Manchester Utd;eng Premier League;32;1901;7;1;7;0;0.33;0.05;0.38;0.33
2197;Marcus Rashford;25;eng ENG;FW;Manchester Utd;eng Premier League;33;2271;7;2;5;0;0.28;0.08;0.36;0.20
863;Bruno Fernandes;28;pt POR;MF,FW;Manchester Utd;eng Premier League;35;3118;10;8;6;0;0.29;0.23;0.52;0.17
630;Diogo Dalot;24;pt POR;DF;Manchester Utd;eng Premier League;36;3174;2;3;2;1;0.06;0.09;0.14;0.06
954;Alejandro Garnacho;19;ar ARG;FW;Manchester Utd;eng Premier League;36;2565;7;4;7;0;0.25;0.14;0.39;0.25
1976;André Onana;27;cm CMR;GK;Manchester Utd;eng Premier League;38;3420;0;0;0;0;0.00;0.00;0.00;0.00
4;Keyliane Abdallah;17;fr FRA;FW;Marseille;fr Ligue 1;1;4;0;0;0;0;0.00;0.00;0.00;0.00
639;Raimane Daou;18;km COM;DF,MF;Marseille;fr Ligue 1;1;25;0;0;0;0;0.00;0.00;0.00;0.00
1680;Noam Mayoka-Tika;19;be BEL;MF;Marseille;fr Ligue 1;1;1;0;0;0;0;0.00;0.00;0.00;0.00
318;Rubén Blanco;28;es ESP;GK;Marseille;fr Ligue 1;2;121;0;0;0;0;0.00;0.00;0.00;0.00
2424;Sofiane Sidi Ali;28;fr FRA;MF;Marseille;fr Ligue 1;2;18;0;0;0;0;0.00;0.00;0.00;0.00
2467;Emran Soglo;18;eng ENG;MF,DF;Marseille;fr Ligue 1;3;109;1;1;1;0;0.83;0.83;1.65;0.83
1823;François Mughe;19;cm CMR;MF,DF;Marseille;fr Ligue 1;5;177;0;0;0;0;0.00;0.00;0.00;0.00
1863;Bilal Nadir;19;fr FRA;MF,FW;Marseille;fr Ligue 1;5;113;0;0;0;0;0.00;0.00;0.00;0.00
1738;Quentin Merlin;21;fr FRA;DF;Marseille;fr Ligue 1;10;703;0;1;0;0;0.00;0.13;0.13;0.00
1739;Quentin Merlin;21;fr FRA;DF;Nantes;fr Ligue 1;16;1283;0;1;0;0;0.00;0.07;0.07;0.00
2274;Valentin Rongier;28;fr FRA;MF;Marseille;fr Ligue 1;10;851;0;0;0;0;0.00;0.00;0.00;0.00
582;Joaquín Correa;28;ar ARG;FW,MF;Marseille;fr Ligue 1;12;430;0;0;0;0;0.00;0.00;0.00;0.00
952;Ulisses Garcia;27;ch SUI;DF;Marseille;fr Ligue 1;13;906;0;0;0;0;0.00;0.00;0.00;0.00
1977;Jean Onana;23;cm CMR;MF;Marseille;fr Ligue 1;13;566;1;0;1;0;0.16;0.00;0.16;0.16
2081;Faris Pemi Moumbagna;23;cm CMR;FW;Marseille;fr Ligue 1;13;547;3;1;3;1;0.49;0.16;0.66;0.49
1499;Renan Lodi;25;br BRA;DF;Marseille;fr Ligue 1;14;1235;0;0;0;0;0.00;0.00;0.00;0.00
1058;Pape Gueye;24;sn SEN;MF,DF;Marseille;fr Ligue 1;15;765;1;0;1;0;0.12;0.00;0.12;0.12
1119;Luis Henrique;21;br BRA;FW,DF;Marseille;fr Ligue 1;15;784;1;0;1;0;0.11;0.00;0.11;0.11
101;Michael Amir Murillo;27;pa PAN;DF;Marseille;fr Ligue 1;16;997;3;2;3;0;0.27;0.18;0.45;0.27
975;Samuel Gigot;29;fr FRA;DF;Marseille;fr Ligue 1;21;1726;3;0;3;1;0.16;0.00;0.16;0.16
2007;Azzedine Ounahi;23;ma MAR;MF;Marseille;fr Ligue 1;21;1209;2;0;2;0;0.15;0.00;0.15;0.15
2363;Ismaila Sarr;25;sn SEN;FW,MF;Marseille;fr Ligue 1;23;1447;3;4;3;0;0.19;0.25;0.44;0.19
1694;Chancel Mbemba;28;cd COD;DF;Marseille;fr Ligue 1;25;2207;2;2;2;0;0.08;0.08;0.16;0.08
1361;Geoffrey Kondogbia;30;cf CTA;MF;Marseille;fr Ligue 1;26;1463;0;0;0;0;0.00;0.00;0.00;0.00
200;Leonardo Balerdi;24;ar ARG;DF;Marseille;fr Ligue 1;27;2271;2;0;2;1;0.08;0.00;0.08;0.08
550;Jonathan Clauss;30;fr FRA;DF;Marseille;fr Ligue 1;27;2068;3;4;3;1;0.13;0.17;0.30;0.13
1100;Amine Harit;26;ma MAR;MF,FW;Marseille;fr Ligue 1;28;1821;1;2;1;0;0.05;0.10;0.15;0.05
2692;Jordan Veretout;30;fr FRA;MF;Marseille;fr Ligue 1;29;2183;1;2;1;0;0.04;0.08;0.12;0.04
1877;Iliman Ndiaye;23;sn SEN;FW,MF;Marseille;fr Ligue 1;30;1618;3;3;3;1;0.17;0.17;0.33;0.17
1513;Pau López;28;es ESP;GK;Marseille;fr Ligue 1;33;2939;0;0;0;0;0.00;0.00;0.00;0.00
157;Pierre-Emerick Aubameyang;34;ga GAB;FW;Marseille;fr Ligue 1;34;2622;17;8;13;0;0.58;0.27;0.86;0.45
715;Guillaume Dietsch;22;fr FRA;GK;Metz;fr Ligue 1;1;73;0;0;0;0;0.00;0.00;0.00;0.00
1683;Youssef Maziz;25;fr FRA;FW,MF;Metz;fr Ligue 1;2;124;1;0;1;0;0.73;0.00;0.73;0.73
1692;Malick Mbaye;19;sn SEN;MF,FW;Metz;fr Ligue 1;5;153;0;0;0;0;0.00;0.00;0.00;0.00
831;Oscar Estupiñan;26;co COL;FW;Metz;fr Ligue 1;6;260;0;0;0;0;0.00;0.00;0.00;0.00
909;Jean Frederic N'Guessan;20;ci CIV;MF,FW;Metz;fr Ligue 1;6;110;0;0;0;0;0.00;0.00;0.00;0.00
1493;Abou Lô;23;sn SEN;MF,DF;Metz;fr Ligue 1;6;197;0;0;0;1;0.00;0.00;0.00;0.00
1568;Habib Maïga;27;ci CIV;MF,FW;Metz;fr Ligue 1;7;147;0;0;0;0;0.00;0.00;0.00;0.00
1425;Didier Lamkel Zé;26;cm CMR;FW,MF;Metz;fr Ligue 1;9;550;1;0;1;0;0.16;0.00;0.16;0.16
2345;Ibou Sané;18;sn SEN;MF,FW;Metz;fr Ligue 1;9;128;1;0;1;0;0.70;0.00;0.70;0.70
2577;Benjamin Tetteh;26;gh GHA;FW,MF;Metz;fr Ligue 1;12;278;0;0;0;0;0.00;0.00;0.00;0.00
1373;Koffi Kouao;25;ci CIV;DF;Metz;fr Ligue 1;13;860;0;2;0;0;0.00;0.21;0.21;0.00
1883;Joseph Nduquidi;18;fr FRA;MF,DF;Metz;fr Ligue 1;13;751;0;0;0;0;0.00;0.00;0.00;0.00
808;Simon Elisor;24;fr FRA;FW;Metz;fr Ligue 1;14;767;1;0;1;0;0.12;0.00;0.12;0.12
2347;Sadibou Sané;19;sn SEN;DF;Metz;fr Ligue 1;14;846;0;0;0;0;0.00;0.00;0.00;0.00
93;Papa Amadou Diallo;19;sn SEN;FW;Metz;fr Ligue 1;16;889;2;1;2;0;0.20;0.10;0.30;0.20
1216;Ablie Jallow;24;gm GAM;MF,FW;Metz;fr Ligue 1;17;918;3;2;2;0;0.29;0.20;0.49;0.20
1124;Christophe Hérelle;30;mq MTQ;DF;Metz;fr Ligue 1;19;1617;0;0;0;1;0.00;0.00;0.00;0.00
148;Joel Asoro;24;se SWE;FW,MF;Metz;fr Ligue 1;20;848;2;1;2;0;0.21;0.11;0.32;0.21
1748;Georges Mikautadze;22;ge GEO;FW;Metz;fr Ligue 1;20;1747;13;4;10;1;0.67;0.21;0.88;0.52
155;Arthur Atta;20;fr FRA;MF,FW;Metz;fr Ligue 1;21;924;1;2;1;0;0.10;0.19;0.29;0.10
556;Maxime Colin;31;fr FRA;DF;Metz;fr Ligue 1;22;1832;0;0;0;0;0.00;0.00;0.00;0.00
1859;Kévin N'Doram;27;fr FRA;MF;Metz;fr Ligue 1;23;1604;0;2;0;0;0.00;0.11;0.11;0.00
447;Fali Candé;25;gw GNB;DF;Metz;fr Ligue 1;25;1849;0;1;0;0;0.00;0.05;0.05;0.00
2631;Ismaël Traoré;36;ci CIV;DF;Metz;fr Ligue 1;26;2220;2;0;2;0;0.08;0.00;0.08;0.08
2591;Cheikh Tidiane Sabaly;24;sn SEN;FW,MF;Metz;fr Ligue 1;29;1379;3;1;3;0;0.20;0.07;0.26;0.20
2670;Kévin Van Den Kerkhof;27;dz ALG;FW,MF;Metz;fr Ligue 1;29;1913;1;2;1;0;0.05;0.09;0.14;0.05
2650;Matthieu Udol;27;fr FRA;DF;Metz;fr Ligue 1;30;2700;3;3;3;0;0.10;0.10;0.20;0.10
434;Lamine Camara;19;sn SEN;MF;Metz;fr Ligue 1;31;2255;1;4;1;0;0.04;0.16;0.20;0.04
1225;Danley Jean-Jacques;23;ht HAI;MF;Metz;fr Ligue 1;33;2682;0;0;0;0;0.00;0.00;0.00;0.00
2006;Alexandre Oukidja;35;dz ALG;GK;Metz;fr Ligue 1;34;2987;0;0;0;0;0.00;0.00;0.00;0.00
428;Mattia Caldara;29;it ITA;DF;Milan;it Serie A;1;33;0;0;0;0;0.00;0.00;0.00;0.00
1870;Lapo Nava;19;it ITA;GK;Milan;it Serie A;1;3;0;0;0;0;0.00;0.00;0.00;0.00
437;Francesco Camarda;15;it ITA;FW;Milan;it Serie A;2;14;0;0;0;0;0.00;0.00;0.00;0.00
1772;Antonio Mirante;40;it ITA;GK;Milan;it Serie A;2;177;0;0;0;0;0.00;0.00;0.00;0.00
2628;Chaka Traorè;18;ci CIV;FW;Milan;it Serie A;2;20;1;0;1;0;4.50;0.00;4.50;4.50
1234;Alejandro Jiménez;18;es ESP;DF;Milan;it Serie A;3;68;0;0;0;0;0.00;0.00;0.00;0.00
2830;Kevin Zeroli;18;it ITA;MF;Milan;it Serie A;3;28;0;0;0;0;0.00;0.00;0.00;0.00
2438;Jan-Carlo Simic;18;rs SRB;DF;Milan;it Serie A;4;146;1;0;1;0;0.62;0.00;0.62;0.62
227;Davide Bartesaghi;17;it ITA;DF,MF;Milan;it Serie A;6;79;0;0;0;0;0.00;0.00;0.00;0.00
2497;Marco Sportiello;31;it ITA;GK;Milan;it Serie A;7;630;0;0;0;0;0.00;0.00;0.00;0.00
1289;Pierre Kalulu;23;fr FRA;DF;Milan;it Serie A;9;374;0;0;0;0;0.00;0.00;0.00;0.00
1393;Rade Krunić;29;ba BIH;MF;Milan;it Serie A;10;687;0;0;0;0;0.00;0.00;0.00;0.00
2138;Tommaso Pobega;24;it ITA;MF;Milan;it Serie A;11;319;0;0;0;0;0.00;0.00;0.00;0.00
923;Matteo Gabbia;23;it ITA;DF;Milan;it Serie A;18;1275;2;1;2;0;0.14;0.07;0.21;0.14
924;Matteo Gabbia;23;it ITA;DF;Villarreal;es La Liga;7;477;0;0;0;0;0.00;0.00;0.00;0.00
276;Ismaël Bennacer;25;dz ALG;MF;Milan;it Serie A;20;1151;2;2;1;0;0.16;0.16;0.31;0.08
1341;Simon Kjær;34;dk DEN;DF;Milan;it Serie A;20;1171;0;1;0;0;0.00;0.08;0.08;0.00
2582;Malick Thiaw;21;de GER;DF;Milan;it Serie A;21;1619;0;1;0;1;0.00;0.06;0.06;0.00
1255;Luka Jović;25;rs SRB;FW;Milan;it Serie A;23;877;6;1;6;1;0.62;0.10;0.72;0.62
29;Yacine Adli;23;fr FRA;MF;Milan;it Serie A;24;1407;1;2;1;0;0.06;0.13;0.19;0.06
538;Samuel Chukwueze;24;ng NGA;FW;Milan;it Serie A;24;1017;1;3;1;0;0.09;0.27;0.35;0.09
2608;Fikayo Tomori;25;eng ENG;DF;Milan;it Serie A;26;2121;4;0;4;1;0.17;0.00;0.17;0.17
1954;Noah Okafor;23;ch SUI;FW,MF;Milan;it Serie A;28;887;6;2;6;0;0.61;0.20;0.81;0.61
426;Davide Calabria;26;it ITA;DF;Milan;it Serie A;29;2185;1;3;1;2;0.04;0.12;0.16;0.04
1500;Ruben Loftus-Cheek;27;eng ENG;MF;Milan;it Serie A;29;2068;6;1;6;0;0.26;0.04;0.30;0.26
1569;Mike Maignan;28;fr FRA;GK;Milan;it Serie A;29;2609;0;1;0;1;0.00;0.03;0.03;0.00
1847;Yunus Musah;20;us USA;MF,FW;Milan;it Serie A;30;1478;0;2;0;0;0.00;0.12;0.12;0.00
886;Alessandro Florenzi;32;it ITA;DF;Milan;it Serie A;31;1732;1;4;1;0;0.05;0.21;0.26;0.05
1130;Theo Hernández;25;fr FRA;DF;Milan;it Serie A;32;2791;5;4;4;1;0.16;0.13;0.29;0.13
1451;Rafael Leão;24;pt POR;FW;Milan;it Serie A;34;2512;9;9;9;0;0.32;0.32;0.64;0.32
984;Olivier Giroud;36;fr FRA;FW;Milan;it Serie A;35;2363;15;8;11;1;0.57;0.30;0.88;0.42
2163;Christian Pulisic;24;us USA;FW,MF;Milan;it Serie A;36;2602;12;8;12;0;0.42;0.28;0.69;0.42
2211;Tijjani Reijnders;25;nl NED;MF;Milan;it Serie A;36;2820;3;3;3;0;0.10;0.10;0.19;0.10
353;Saïmon Bouabré;17;fr FRA;MF;Monaco;fr Ligue 1;1;45;0;0;0;0;0.00;0.00;0.00;0.00
473;Antonin Cartillier;19;fr FRA;DF;Monaco;fr Ligue 1;1;8;0;0;0;0;0.00;0.00;0.00;0.00
1745;Lucas Michal;18;fr FRA;FW;Monaco;fr Ligue 1;1;7;0;0;0;0;0.00;0.00;0.00;0.00
596;Mamadou Coulibaly;19;fr FRA;MF;Monaco;fr Ligue 1;5;118;0;0;0;0;0.00;0.00;0.00;0.00
595;Mamadou Coulibaly;24;sn SEN;DF;Salernitana;it Serie A;1;3;0;0;0;0;0.00;0.00;0.00;0.00
816;Breel Embolo;26;ch SUI;FW;Monaco;fr Ligue 1;5;182;1;0;1;0;0.49;0.00;0.49;0.49
1659;Eliot Matazo;21;be BEL;MF;Monaco;fr Ligue 1;6;102;0;1;0;0;0.00;0.88;0.88;0.00
324;Myron Boadu;22;nl NED;FW;Monaco;fr Ligue 1;9;85;1;0;1;0;1.06;0.00;1.06;1.06
